name,sec,min,free_sec
2АП,10,0.166667,1604999005
ЧДП,10,0.166667,1604999005
1АП,456,7.6,1604999661
20-38СП,128,2.13333,1604999769
3СП,573,9.55,1604999777
5-7СП,579,9.65,1604999784
2АП,609,10.15,1604999821
ЧДП,609,10.15,1604999821
16-18СП,660,11.0,1604999872
8СП,663,11.05,1604999875
2СП,675,11.25,1604999887
20-38СП,99,1.65,1604999903
2АП,10,0.166667,1604999915
ЧДП,10,0.166667,1604999915
10-32СП,119,1.98333,1604999924
6-12СП,134,2.23333,1604999939
ЧГП,257,4.28333,1605000062
4СП,257,4.28333,1605000062
6-12СП,68,1.13333,1605000097
16-18СП,90,1.5,1605000119
14-34СП,456,7.6,1605000192
1АП,278,4.63333,1605000438
3СП,375,6.25,1605000534
5-7СП,380,6.33333,1605000540
2АП,399,6.65,1605000572
ЧДП,399,6.65,1605000572
16-18СП,440,7.33333,1605000613
8СП,443,7.38333,1605000616
2СП,453,7.55,1605000626
2АП,10,0.166667,1605000651
ЧДП,10,0.166667,1605000651
1АП,305,5.08333,1605000919
3СП,379,6.31667,1605000993
5-7СП,389,6.48333,1605001003
16-18СП,145,2.41667,1605001300
8СП,148,2.46667,1605001303
2АП,152,2.53333,1605001307
ЧДП,152,2.53333,1605001307
2СП,159,2.65,1605001314
2АП,9,0.15,1605001341
ЧДП,9,0.15,1605001341
ЧГП,611,10.1833,1605003320
4СП,632,10.5333,1605003341
6-12СП,643,10.7167,1605003352
29СП,755,12.5833,1605003464
13-15СП,772,12.8667,1605003487
1АП,722,12.0333,1605003492
9СП,778,12.9667,1605003493
1СП,782,13.0333,1605003497
3СП,805,13.4167,1605003574
5-7СП,819,13.65,1605003589
ЧГП,420,7.0,1605003909
16-18СП,126,2.1,1605003953
8СП,129,2.15,1605003956
2АП,138,2.3,1605003965
ЧДП,138,2.3,1605003965
2СП,141,2.35,1605003968
4СП,494,8.23333,1605003983
2АП,9,0.15,1605003993
ЧДП,9,0.15,1605003993
6-12СП,506,8.43333,1605003995
29СП,543,9.05,1605004038
13-15СП,456,7.6,1605004064
9СП,464,7.73333,1605004072
1СП,468,7.8,1605004076
2АП,214,3.56667,1605004225
ЧДП,214,3.56667,1605004225
16-18СП,314,5.23333,1605004325
8СП,323,5.38333,1605004334
2СП,361,6.01667,1605004372
2СП,491,8.18333,1605004877
4СП,503,8.38333,1605004889
6-12СП,719,11.9833,1605004913
10-32СП,754,12.5667,1605004948
20-38СП,1245,20.75,1605005012
1АП,1545,25.75,1605006676
3СП,1640,27.3333,1605006770
5-7СП,1645,27.4167,1605006776
2АП,564,9.4,1605006810
ЧДП,564,9.4,1605006810
16-18СП,609,10.15,1605006855
8СП,611,10.1833,1605006857
2СП,622,10.3667,1605006868
2АП,10,0.166667,1605006894
ЧДП,10,0.166667,1605006894
1АП,419,6.98333,1605007315
ЧГП,675,11.25,1605007326
4СП,749,12.4833,1605007400
6-12СП,761,12.6833,1605007412
3СП,528,8.8,1605007423
5-7СП,534,8.9,1605007430
29СП,806,13.4333,1605007457
2АП,415,6.91667,1605007475
ЧДП,415,6.91667,1605007475
13-15СП,832,13.8667,1605007483
9СП,840,14.0,1605007491
1СП,846,14.1,1605007497
16-18СП,455,7.58333,1605007515
8СП,458,7.63333,1605007518
2СП,470,7.83333,1605007530
2АП,10,0.166667,1605007558
ЧДП,10,0.166667,1605007558
1АП,405,6.75,1605007981
3СП,473,7.88333,1605008049
5-7СП,483,8.05,1605008059
16-18СП,342,5.7,1605008173
2АП,343,5.71667,1605008174
ЧДП,343,5.71667,1605008174
8СП,345,5.75,1605008176
2СП,358,5.96667,1605008189
2АП,10,0.166667,1605008218
ЧДП,10,0.166667,1605008218
ЧГП,711,11.85,1605008553
4СП,797,13.2833,1605008639
6-12СП,811,13.5167,1605008653
29СП,854,14.2333,1605008701
13-15СП,565,9.41667,1605008727
9СП,573,9.55,1605008735
1СП,578,9.63333,1605008740
20-38СП,111,1.85,1605008791
10-32СП,132,2.2,1605008813
6-12СП,148,2.46667,1605008829
4СП,155,2.58333,1605008836
2АП,161,2.68333,1605008842
ЧДП,161,2.68333,1605008842
2СП,164,2.73333,1605008845
2СП,75,1.25,1605008934
8СП,422,7.03333,1605008942
14-34СП,439,7.31667,1605008959
11СП,223,3.71667,1605009824
5-7СП,243,4.05,1605009844
1АП,304,5.06667,1605009905
3СП,304,5.06667,1605009905
5-7СП,55,0.916667,1605009926
11СП,69,1.15,1605009940
1АП,297,4.95,1605010257
3СП,402,6.7,1605010361
5-7СП,406,6.76667,1605010366
2АП,433,7.21667,1605010399
ЧДП,433,7.21667,1605010399
16-18СП,477,7.95,1605010443
8СП,480,8.0,1605010446
2СП,491,8.18333,1605010457
2АП,9,0.15,1605010482
ЧДП,9,0.15,1605010482
ЧГП,325,5.41667,1605011267
4СП,345,5.75,1605011287
6-12СП,358,5.96667,1605011300
1АП,513,8.55,1605011344
3СП,550,9.16667,1605011380
5-7СП,554,9.23333,1605011385
29СП,504,8.4,1605011446
13-15СП,521,8.68333,1605011463
9СП,526,8.76667,1605011468
1СП,529,8.81667,1605011471
16-18СП,729,12.15,1605011560
8СП,732,12.2,1605011563
2АП,737,12.2833,1605011568
ЧДП,737,12.2833,1605011568
2СП,742,12.3667,1605011573
2АП,10,0.166667,1605011596
ЧДП,10,0.166667,1605011596
11СП,194,3.23333,1605011712
5-7СП,210,3.5,1605011728
3СП,219,3.65,1605011737
1СП,230,3.83333,1605011748
1СП,108,1.8,1605011878
1АП,137,2.28333,1605011900
9СП,132,2.2,1605011902
13-15СП,401,6.68333,1605011931
17СП,414,6.9,1605011944
19-25СП,414,6.9,1605011951
21-27СП,456,7.6,1605011992
ЧГП,363,6.05,1605012220
4СП,388,6.46667,1605012245
6-12СП,402,6.7,1605012259
29СП,424,7.06667,1605012379
13-15СП,440,7.33333,1605012401
9СП,446,7.43333,1605012407
1СП,449,7.48333,1605012410
3СП,664,11.0667,1605012427
5-7СП,682,11.3667,1605012445
1СП,38,0.633333,1605012495
9СП,38,0.633333,1605012495
13-15СП,38,0.633333,1605012495
2АП,350,5.83333,1605012516
ЧДП,350,5.83333,1605012516
1АП,76,1.26667,1605012561
16-18СП,417,6.95,1605012583
8СП,420,7.0,1605012586
2СП,436,7.26667,1605012602
1СП,95,1.58333,1605012603
9СП,95,1.58333,1605012603
13-15СП,95,1.58333,1605012603
2АП,10,0.166667,1605012634
ЧДП,10,0.166667,1605012634
3СП,151,2.51667,1605012635
5-7СП,160,2.66667,1605012645
11СП,169,2.81667,1605012654
1АП,353,5.88333,1605013027
21-27СП,132,2.2,1605013055
13-15СП,192,3.2,1605013115
9СП,220,3.66667,1605013143
1СП,237,3.95,1605013160
16-18СП,220,3.66667,1605013238
8СП,225,3.75,1605013243
2АП,241,4.01667,1605013259
ЧДП,241,4.01667,1605013259
2СП,244,4.06667,1605013262
2АП,10,0.166667,1605013296
ЧДП,10,0.166667,1605013296
3СП,818,13.6333,1605013491
5-7СП,859,14.3167,1605013533
1СП,52,0.866667,1605013617
3СП,61,1.01667,1605013626
5-7СП,87,1.45,1605013645
11СП,100,1.66667,1605013658
1АП,151,2.51667,1605013832
ЧГП,401,6.68333,1605013889
3СП,233,3.88333,1605013914
5-7СП,245,4.08333,1605013926
11СП,255,4.25,1605013936
4СП,479,7.98333,1605013967
6-12СП,494,8.23333,1605013982
29СП,539,8.98333,1605014033
13-15СП,397,6.61667,1605014062
9СП,406,6.76667,1605014071
1СП,412,6.86667,1605014077
2АП,312,5.2,1605014592
ЧДП,312,5.2,1605014592
11СП,229,3.81667,1605014607
1АП,238,3.96667,1605014616
5-7СП,249,4.15,1605014627
16-18СП,395,6.58333,1605014675
8СП,401,6.68333,1605014681
2СП,423,7.05,1605014703
1АП,17,0.283333,1605014742
3СП,364,6.06667,1605014742
2АП,10,0.166667,1605014746
ЧДП,10,0.166667,1605014746
5-7СП,98,1.63333,1605014751
9СП,116,1.93333,1605014769
13-15СП,183,3.05,1605014790
ЧГП,732,12.2,1605014877
21-27СП,298,4.96667,1605014897
4СП,823,13.7167,1605014968
6-12СП,836,13.9333,1605014981
29СП,877,14.6167,1605015028
13-15СП,229,3.81667,1605015052
9СП,236,3.93333,1605015059
1СП,241,4.01667,1605015064
16-18СП,366,6.1,1605015415
8СП,371,6.18333,1605015420
2АП,382,6.36667,1605015431
ЧДП,382,6.36667,1605015431
2СП,386,6.43333,1605015435
2АП,9,0.15,1605015462
ЧДП,9,0.15,1605015462
1АП,937,15.6167,1605015737
ЧГП,397,6.61667,1605015794
4СП,485,8.08333,1605015882
6-12СП,499,8.31667,1605015896
29СП,540,9.0,1605015943
13-15СП,458,7.63333,1605015968
9СП,466,7.76667,1605015976
1СП,471,7.85,1605015981
21-27СП,147,2.45,1605016171
13-15СП,181,3.01667,1605016221
9СП,208,3.46667,1605016248
1СП,238,3.96667,1605016278
3СП,1519,25.3167,1605016319
5-7СП,1563,26.05,1605016363
1СП,62,1.03333,1605016457
3СП,72,1.2,1605016467
5-7СП,98,1.63333,1605016486
11СП,113,1.88333,1605016501
2АП,275,4.58333,1605016529
ЧДП,275,4.58333,1605016529
16-18СП,368,6.13333,1605016622
8СП,373,6.21667,1605016627
2СП,392,6.53333,1605016646
2АП,9,0.15,1605016683
ЧДП,9,0.15,1605016683
1АП,158,2.63333,1605016705
3СП,252,4.2,1605016798
5-7СП,268,4.46667,1605016815
11СП,283,4.71667,1605016830
ЧГП,385,6.41667,1605017343
4СП,466,7.76667,1605017424
6-12СП,478,7.96667,1605017436
29СП,522,8.7,1605017480
13-15СП,546,9.1,1605017504
9СП,554,9.23333,1605017512
1СП,559,9.31667,1605017517
16-18СП,159,2.65,1605017526
8СП,165,2.75,1605017532
2АП,177,2.95,1605017544
ЧДП,177,2.95,1605017544
2СП,189,3.15,1605017556
2АП,10,0.166667,1605017597
ЧДП,10,0.166667,1605017597
11СП,268,4.46667,1605017698
1АП,269,4.48333,1605017699
5-7СП,289,4.81667,1605017719
1АП,15,0.25,1605017837
3СП,407,6.78333,1605017837
5-7СП,100,1.66667,1605017846
9СП,117,1.95,1605017863
13-15СП,224,3.73333,1605017884
ЧГП,536,8.93333,1605018226
4СП,612,10.2,1605018302
6-12СП,625,10.4167,1605018315
29СП,664,11.0667,1605018360
13-15СП,452,7.53333,1605018385
9СП,460,7.66667,1605018393
1СП,464,7.73333,1605018397
21-27СП,1464,24.4,1605018946
1АП,533,8.88333,1605018991
13-15СП,195,3.25,1605019006
9СП,230,3.83333,1605019041
1СП,254,4.23333,1605019065
3СП,948,15.8,1605019405
5-7СП,995,16.5833,1605019453
1СП,102,1.7,1605019586
3СП,110,1.83333,1605019594
5-7СП,134,2.23333,1605019611
11СП,146,2.43333,1605019623
1АП,302,5.03333,1605020496
3СП,371,6.18333,1605020564
5-7СП,379,6.31667,1605020573
11СП,387,6.45,1605020581
16-18СП,575,9.58333,1605020784
8СП,579,9.65,1605020788
11СП,188,3.13333,1605020792
2АП,585,9.75,1605020794
