zero_state, one_state
3617, 1407
2928, 607
1150, 764
162, 854
7052, 489
619, 766
2559, 1136
2853, 737
2200, 879
120, 1322
154, 553
1783, 433
94, 1328
1603, 586
112, 560
3567, 646
166, 961
1851, 1089
4206, 843
167, 905
8452, 379
937, 970
134, 957
6445, 477
141, 600
98, 265
18599, 470
3646, 1050
1291, 1106
242, 17
3003, 498
3195, 738
2644, 716
174, 1139
1575, 270
4358, 585
2388, 533
105, 601
1439, 979
2478, 638
322, 562
1174, 1371
6547, 936
2798, 1248
331, 751
482, 154
2447, 531
465, 1774
6377, 1833
1205, 1739
104, 685
1715, 578
2537, 1316
189, 742
1255, 226
10150, 874
1313, 1144
6058, 454
760, 821
211, 887
90, 191
147, 301
6936, 213
187, 815
1806, 578
110, 746
185, 318
2219, 270
89, 947
1314, 608
155, 875
192, 851
180, 457
179, 340
3325, 249
1881, 839
118, 545
1470, 550
3291, 748
3398, 1454
1645, 767
1233, 990
7158, 1355
110, 842
1414, 446
173, 673
3250, 330
29, 294
2641, 904
1866, 708
8101, 967
198, 1628
169, 975
6536, 307
2863, 748
5364, 651
2655, 915
1110, 1385
190, 846
248, 225
217, 1063
172, 429
4583, 466
11732, 1341
1829, 362
1535, 585
791, 867
2105, 472
2906, 904
3437, 771
771, 859
150, 1183
2820, 611
151, 1068
122, 617
524, 1153
158, 258
280, 192
10410, 296
7464, 905
190, 999
2055, 326
1241, 1359
3696, 1843
1195, 879
1364, 894
1163, 1122
186, 1080
162, 630
1529, 574
1741, 566
226, 395
346, 864
1286, 311
173, 720
1152, 797
2435, 1288
2054, 1487
2872, 566
2027, 847
2141, 632
175, 919
5087, 812
1188, 759
2621, 964
793, 966
723, 1763
2109, 1054
6186, 702
6136, 1016
161, 712
1810, 340
2508, 1498
202, 1434
188, 332
1875, 470
139, 1234
1047, 295
5388, 704
2888, 1638
1914, 1099
20264, 1131
129, 745
893, 413
194, 1140
1290, 1295
5312, 768
109, 804
183, 678
173, 946
174, 1241
6526, 278
9358, 1014
963, 827
251, 535
1377, 897
4806, 730
1310, 618
220, 860
211, 171
283, 226
9523, 213
201, 1103
1143, 298
420, 1247
465, 240
1615, 281
3605, 529
183, 802
1367, 527
2127, 529
259, 1087
27, 102
2901, 534
3489, 858
1412, 940
2182, 705
1514, 1460
974, 1195
187, 1538
173, 740
174, 290
1510, 300
1221, 572
170, 791
1627, 347
131, 343
375, 734
