zero_state, one_state
2194, 1616
743, 351
8669, 798
501, 457
183, 962
3906, 810
1176, 1474
2496, 656
13748, 1401
7042, 411
9380, 1631
7839, 602
6233, 811
410, 987
293, 1420
422, 736
1192, 1083
203, 1052
95, 827
1516, 872
481, 852
1089, 773
9090, 1472
217, 746
2909, 666
10999, 641
1251, 568
19036, 1022
10907, 2688
255, 1356
192, 1915
16275, 566
38, 709
117, 546
186, 501
252, 503
224, 521
210, 519
79, 912
223, 525
6147, 896
178, 906
497, 363
1900, 1002
2990, 994
416, 1097
1421, 420
16437, 1095
7469, 802
17685, 1071
9196, 1064
5833, 873
587, 835
392, 814
255, 323
245, 278
224, 287
127, 569
7192, 340
351, 2197
2391, 683
4660, 2018
226, 1104
2242, 562
2013, 245
32729, 1596
1098, 1195
208, 682
17435, 344
575, 791
166, 353
198, 639
203, 363
394, 1474
6485, 737
10153, 1669
29769, 1776
580, 891
1509, 1378
5582, 1257
4413, 1445
6809, 295
160, 737
934, 776
1799, 1341
139, 983
109, 572
129, 896
22170, 156
408, 1173
336, 867
190, 1580
1253, 255
15504, 2188
865, 1090
352, 601
164, 234
966, 451
1719, 1806
7106, 2011
186, 1159
657, 527
228, 1338
7202, 718
189, 1462
233, 871
4134, 1531
124, 1115
495, 663
598, 877
208, 1301
6996, 791
765, 1213
179, 548
10422, 337
303, 1007
288, 707
1714, 984
7347, 1493
9064, 555
3727, 1445
857, 1016
174, 1099
14443, 589
11371, 542
336, 1183
125, 775
183, 748
416, 287
196, 1703
6323, 289
235, 1456
3136, 383
17784, 2407
3499, 954
19625, 1204
2166, 1418
118, 1372
271, 315
9550, 2146
236, 1385
482, 1630
265, 998
1116, 283
605, 1503
124, 408
193, 553
261, 317
129, 1739
127, 661
8378, 465
214, 1246
6557, 327
184, 990
933, 301
1749, 587
1536, 1512
16629, 2023
1076, 1834
12220, 1592
1089, 1009
194, 1554
5379, 638
1309, 1521
155, 1868
306, 1054
1690, 1710
510, 1565
1775, 824
8831, 922
216, 1691
33200, 789
1405, 869
608, 2199
232, 279
3792, 1256
3322, 1965
306, 1232
17781, 1329
124, 1155
482, 588
762, 839
13287, 1284
189, 1046
3627, 332
1463, 469
157, 1319
205, 879
2218, 709
24919, 1912
573, 1178
18004, 1028
294, 1468
2009, 547
190, 1183
1299, 622
2710, 1228
298, 289
168, 612
8067, 446
204, 800
180, 499
5464, 568
2736, 1092
1006, 1794
190, 1244
202, 390
1085, 316
7884, 1465
1363, 1663
2943, 2493
8076, 1340
1277, 1426
2433, 1920
178, 1259
14383, 579
157, 1981
259, 492
705, 1402
484, 282
1440, 349
141, 1773
2933, 900
2316, 1292
12557, 1580
1658, 1516
209, 846
20275, 1933
330, 1950
272, 729
197, 1366
263, 1007
14962, 1245
8988, 656
188, 1341
513, 679
940, 849
170, 937
805, 722
4053, 968
231, 1524
1321, 741
10476, 377
185, 1499
198, 653
188, 970
23373, 476
4492, 1601
4890, 1475
446, 1296
