name,move_sec,length,speed_kmh,move_to_ts_name,self_ts_name,self_busy_sec
НАП(на_4П_6П),60,376.0,22.56,1-9СП(к),НАП(к),1600156889
НАП(на_2П),24,376.0,56.4,1-9СП(к),НАП(к),1600164804
НАП(на_2П),23,376.0,58.8522,1-9СП(к),НАП(к),1600166809
НАП(на_2П),28,376.0,48.3429,1-9СП(к),НАП(к),1600167459
НАП(на_2П),29,376.0,46.6759,1-9СП(к),НАП(к),1600175278
НАП(на_3П),41,376.0,33.0146,1-9СП(к),НАП(к),1600177032
НАП(на_1П),42,376.0,32.2286,1-9СП(к),НАП(к),1600180328
НАП(на_3П),35,376.0,38.6743,1-9СП(к),НАП(к),1600184061
НАП(на_2П),24,376.0,56.4,1-9СП(к),НАП(к),1600187581
НАП(на_2П),20,376.0,67.68,1-9СП(к),НАП(к),1600188256
НАП(на_2П),48,376.0,28.2,1-9СП(к),НАП(к),1600188842
НАП(на_2П),24,376.0,56.4,1-9СП(к),НАП(к),1600191953
НАП(на_1П),36,376.0,37.6,1-9СП(к),НАП(к),1600192634
НАП(на_2П),17,376.0,79.6235,1-9СП(к),НАП(к),1600194796
НАП(на_2П),21,376.0,64.4571,1-9СП(к),НАП(к),1600195554
НАП(на_2П),19,376.0,71.2421,1-9СП(к),НАП(к),1600200086
НАП(на_2П),22,376.0,61.5273,1-9СП(к),НАП(к),1600201335
НАП(на_2П),16,376.0,84.6,1-9СП(к),НАП(к),1600204032
НАП(на_2П),23,376.0,58.8522,1-9СП(к),НАП(к),1600209146
НАП(на_2П),30,376.0,45.12,1-9СП(к),НАП(к),1600209688
НАП(на_1П),88,376.0,15.3818,1-9СП(к),НАП(к),1600214175
НАП(на_2П),23,376.0,58.8522,1-9СП(к),НАП(к),1600219111
НАП(на_2П),18,376.0,75.2,1-9СП(к),НАП(к),1600221005
НАП(на_2П),21,376.0,64.4571,1-9СП(к),НАП(к),1600221616
НАП(на_2П),25,376.0,54.144,1-9СП(к),НАП(к),1600228660
НАП(на_1П),33,376.0,41.0182,1-9СП(к),НАП(к),1600229066
НАП(на_2П),40,376.0,33.84,1-9СП(к),НАП(к),1600229637
НАП(на_2П),27,376.0,50.1333,1-9СП(к),НАП(к),1600249283
НАП(на_2П),23,376.0,58.8522,1-9СП(к),НАП(к),1600254036
НАП(на_3П),30,376.0,45.12,1-9СП(к),НАП(к),1600256084
НАП(на_1П),341,376.0,3.9695,1-9СП(к),НАП(к),1600259828
НАП(на_2П),20,376.0,67.68,1-9СП(к),НАП(к),1600263733
НАП(на_2П),24,376.0,56.4,1-9СП(к),НАП(к),1600267518
НАП(на_2П),24,376.0,56.4,1-9СП(к),НАП(к),1600267962
НАП(на_2П),24,376.0,56.4,1-9СП(к),НАП(к),1600270123
НАП(на_2П),64,376.0,21.15,1-9СП(к),НАП(к),1600275014
НАП(на_2П),24,376.0,56.4,1-9СП(к),НАП(к),1600278002
НАП(на_1П),35,376.0,38.6743,1-9СП(к),НАП(к),1600279087
