name,move_sec,length,speed_kmh,move_to_ts_name,self_ts_name,self_busy_sec
НАП,60,376.0,22.56,1-9СП(к),НАП(к),1600156889
ЧДП,39,223.0,20.5846,2-8СП(к),ЧДП(к),1600157300
НАП,58,376.0,23.3379,Н1ИП,НАП(к),1600158222
4СП(4+),49,332.0,24.3918,6-14СП(к),4СП(к),1600159919
НАП,27,376.0,50.1333,1-9СП(к),НАП(к),1600161113
ЧДП,18,223.0,44.6,ЧД1УП,ЧДП(к),1600161252
4СП(4+),16,332.0,74.7,6-14СП(к),4СП(к),1600161462
1-9СП(1+;3-),18,108.0,21.6,НАП(к),1-9СП(к),1600161799
НАП,58,376.0,23.3379,Н1ИП,НАП(к),1600161817
ЧДП,36,223.0,22.3,2-8СП(к),ЧДП(к),1600164592
НАП,24,376.0,56.4,1-9СП(к),НАП(к),1600164804
1-9СП(1+;3+;9+),11,146.0,47.7818,2АП(к),1-9СП(к),1600164828
4СП(4+),22,332.0,54.3273,Ч1УП,4СП(к),1600164925
1-9СП(1+;3+;9-),28,146.0,18.7714,НАП(к),1-9СП(к),1600165024
НАП,52,376.0,26.0308,Н1ИП,НАП(к),1600165052
НАП,23,376.0,58.8522,1-9СП(к),НАП(к),1600166809
1-9СП(1+;3+;9+),9,146.0,58.4,2АП(к),1-9СП(к),1600166832
4СП(4+),21,332.0,56.9143,Ч1УП,4СП(к),1600166918
НАП,28,376.0,48.3429,1-9СП(к),НАП(к),1600167459
1-9СП(1+;3+;9+),8,146.0,65.7,2АП(к),1-9СП(к),1600167487
4СП(4+),23,332.0,51.9652,Ч1УП,4СП(к),1600167578
ЧДП,108,223.0,7.43333,2-8СП(к),ЧДП(к),1600167850
ЧДП,26,223.0,30.8769,2-8СП(к),ЧДП(к),1600169241
4СП(4+),15,332.0,79.68,6-14СП(к),4СП(к),1600170588
1-9СП(1+;3+;9+),6,146.0,87.6,НАП(к),1-9СП(к),1600170658
4СП(4+),25,332.0,47.808,6-14СП(к),4СП(к),1600172049
1-9СП(1+;3+;9+),11,146.0,47.7818,НАП(к),1-9СП(к),1600172158
НАП,28,376.0,48.3429,Н1ИП,НАП(к),1600172169
4СП(4+),28,332.0,42.6857,6-14СП(к),4СП(к),1600173043
1-9СП(1+;3+;9+),12,146.0,43.8,НАП(к),1-9СП(к),1600173164
НАП,30,376.0,45.12,Н1ИП,НАП(к),1600173176
НАП,29,376.0,46.6759,1-9СП(к),НАП(к),1600175278
1-9СП(1+;3+;9+),8,146.0,65.7,2АП(к),1-9СП(к),1600175307
4СП(4+),23,332.0,51.9652,Ч1УП,4СП(к),1600175400
НАП,41,376.0,33.0146,1-9СП(к),НАП(к),1600177032
4СП(4+),21,332.0,56.9143,6-14СП(к),4СП(к),1600178424
1-9СП(1+;3+;9+),13,146.0,40.4308,НАП(к),1-9СП(к),1600178521
НАП,25,376.0,54.144,Н1ИП,НАП(к),1600178534
4СП(4+),54,332.0,22.1333,6-14СП(к),4СП(к),1600180257
НАП,42,376.0,32.2286,1-9СП(к),НАП(к),1600180328
1-9СП(1+;3-),9,108.0,43.2,5-13СП(к),1-9СП(к),1600180370
1-9СП(1+;3+;9+),52,146.0,10.1077,НАП(к),1-9СП(к),1600180682
НАП,70,376.0,19.3371,Н1ИП,НАП(к),1600180734
4СП(4+),67,332.0,17.8388,Ч1УП,4СП(к),1600181358
ЧДП,19,223.0,42.2526,2-8СП(к),ЧДП(к),1600181465
1-9СП(1+;3+;9-),15,146.0,35.04,НАП(к),1-9СП(к),1600181600
НАП,43,376.0,31.4791,Н1ИП,НАП(к),1600181615
ЧДП,20,223.0,40.14,2-8СП(к),ЧДП(к),1600182303
1-9СП(1+;3+;9-),12,146.0,43.8,НАП(к),1-9СП(к),1600182441
НАП,37,376.0,36.5838,Н1ИП,НАП(к),1600182453
НАП,35,376.0,38.6743,1-9СП(к),НАП(к),1600184061
1-9СП(1+;3+;9-),13,146.0,40.4308,3АП(к),1-9СП(к),1600184096
4СП(4+),49,332.0,24.3918,6-14СП(к),4СП(к),1600184156
ЧДП,20,223.0,40.14,ЧД1УП,ЧДП(к),1600184241
1-9СП(1+;3+;9+),17,146.0,30.9176,НАП(к),1-9СП(к),1600184389
НАП,40,376.0,33.84,Н1ИП,НАП(к),1600184406
НАП,24,376.0,56.4,1-9СП(к),НАП(к),1600187581
НАП,20,376.0,67.68,1-9СП(к),НАП(к),1600188256
1-9СП(1+;3+;9+),11,146.0,47.7818,2АП(к),1-9СП(к),1600188276
4СП(4+),20,332.0,59.76,Ч1УП,4СП(к),1600188358
НАП,48,376.0,28.2,1-9СП(к),НАП(к),1600188842
1-9СП(1+;3+;9+),29,146.0,18.1241,2АП(к),1-9СП(к),1600188890
ЧДП,24,223.0,33.45,2-8СП(к),ЧДП(к),1600189243
НАП,24,376.0,56.4,1-9СП(к),НАП(к),1600191953
1-9СП(1+;3+;9+),12,146.0,43.8,2АП(к),1-9СП(к),1600191977
НАП,36,376.0,37.6,1-9СП(к),НАП(к),1600192634
1-9СП(1+;3-),11,108.0,35.3455,5-13СП(к),1-9СП(к),1600192670
ЧДП,35,223.0,22.9371,2-8СП(к),ЧДП(к),1600192783
ЧДП,26,223.0,30.8769,2-8СП(к),ЧДП(к),1600193554
1-9СП(1+;3+;9+),10,146.0,52.56,НАП(к),1-9СП(к),1600193710
НАП,17,376.0,79.6235,1-9СП(к),НАП(к),1600194796
1-9СП(1+;3+;9+),7,146.0,75.0857,2АП(к),1-9СП(к),1600194813
НАП,21,376.0,64.4571,1-9СП(к),НАП(к),1600195554
1-9СП(1+;3+;9+),8,146.0,65.7,2АП(к),1-9СП(к),1600195575
4СП(4+),17,332.0,70.3059,Ч1УП,4СП(к),1600195655
ЧДП,29,223.0,27.6828,2-8СП(к),ЧДП(к),1600195993
1-9СП(1+;3+;9+),16,146.0,32.85,НАП(к),1-9СП(к),1600196160
НАП,38,376.0,35.6211,Н1ИП,НАП(к),1600196176
1-9СП(1+;3+;9-),42,146.0,12.5143,НАП(к),1-9СП(к),1600196624
НАП,72,376.0,18.8,Н1ИП,НАП(к),1600196666
4СП(4+),23,332.0,51.9652,6-14СП(к),4СП(к),1600198312
1-9СП(1+;3+;9+),10,146.0,52.56,НАП(к),1-9СП(к),1600198416
НАП,28,376.0,48.3429,Н1ИП,НАП(к),1600198426
ЧДП,33,223.0,24.3273,2-8СП(к),ЧДП(к),1600199010
НАП,19,376.0,71.2421,1-9СП(к),НАП(к),1600200086
1-9СП(1+;3+;9+),11,146.0,47.7818,2АП(к),1-9СП(к),1600200105
4СП(4+),22,332.0,54.3273,Ч1УП,4СП(к),1600200193
НАП,22,376.0,61.5273,1-9СП(к),НАП(к),1600201335
1-9СП(1+;3+;9+),10,146.0,52.56,2АП(к),1-9СП(к),1600201357
1-9СП(1+;3+;9-),38,146.0,13.8316,НАП(к),1-9СП(к),1600201915
НАП,71,376.0,19.0648,Н1ИП,НАП(к),1600201953
НАП,16,376.0,84.6,1-9СП(к),НАП(к),1600204032
1-9СП(1+;3+;9+),7,146.0,75.0857,2АП(к),1-9СП(к),1600204048
4СП(4+),16,332.0,74.7,Ч1УП,4СП(к),1600204115
ЧДП,19,223.0,42.2526,2-8СП(к),ЧДП(к),1600204523
1-9СП(1+;3+;9-),12,146.0,43.8,НАП(к),1-9СП(к),1600204651
НАП,34,376.0,39.8118,Н1ИП,НАП(к),1600204663
4СП(4+),23,332.0,51.9652,6-14СП(к),4СП(к),1600206986
1-9СП(1+;3+;9+),30,146.0,17.52,НАП(к),1-9СП(к),1600207159
НАП,79,376.0,17.1342,Н1ИП,НАП(к),1600207189
НАП,23,376.0,58.8522,1-9СП(к),НАП(к),1600209146
1-9СП(1+;3+;9+),7,146.0,75.0857,2АП(к),1-9СП(к),1600209169
4СП(4+),17,332.0,70.3059,Ч1УП,4СП(к),1600209260
НАП,30,376.0,45.12,1-9СП(к),НАП(к),1600209688
1-9СП(1+;3+;9+),16,146.0,32.85,2АП(к),1-9СП(к),1600209718
ЧДП,30,223.0,26.76,2-8СП(к),ЧДП(к),1600211599
4СП(4+),69,332.0,17.3217,Ч1УП,4СП(к),1600211647
ЧДП,20,223.0,40.14,2-8СП(к),ЧДП(к),1600212121
1-9СП(1+;3+;9-),15,146.0,35.04,НАП(к),1-9СП(к),1600212255
НАП,36,376.0,37.6,Н1ИП,НАП(к),1600212270
НАП,88,376.0,15.3818,1-9СП(к),НАП(к),1600214175
4СП(4+),22,332.0,54.3273,6-14СП(к),4СП(к),1600216968
1-9СП(1+;3+;9+),9,146.0,58.4,НАП(к),1-9СП(к),1600217072
НАП,28,376.0,48.3429,Н1ИП,НАП(к),1600217081
4СП(4+),77,332.0,15.5221,6-14СП(к),4СП(к),1600217967
НАП,23,376.0,58.8522,1-9СП(к),НАП(к),1600219111
1-9СП(1+;3+;9+),10,146.0,52.56,2АП(к),1-9СП(к),1600219134
4СП(4+),79,332.0,15.1291,6-14СП(к),4СП(к),1600220463
НАП,18,376.0,75.2,1-9СП(к),НАП(к),1600221005
1-9СП(1+;3+;9+),8,146.0,65.7,2АП(к),1-9СП(к),1600221023
НАП,21,376.0,64.4571,1-9СП(к),НАП(к),1600221616
1-9СП(1+;3+;9+),8,146.0,65.7,2АП(к),1-9СП(к),1600221637
4СП(4+),20,332.0,59.76,Ч1УП,4СП(к),1600221723
ЧДП,21,223.0,38.2286,2-8СП(к),ЧДП(к),1600222008
1-9СП(1+;3+;9-),12,146.0,43.8,НАП(к),1-9СП(к),1600222132
НАП,35,376.0,38.6743,Н1ИП,НАП(к),1600222144
4СП(4+),127,332.0,9.41102,6-14СП(к),4СП(к),1600222082
4СП(4+),24,332.0,49.8,6-14СП(к),4СП(к),1600225617
1-9СП(1+;3+;9+),9,146.0,58.4,НАП(к),1-9СП(к),1600225724
НАП,30,376.0,45.12,Н1ИП,НАП(к),1600225733
ЧДП,18,223.0,44.6,2-8СП(к),ЧДП(к),1600226609
1-9СП(1+;3+;9-),13,146.0,40.4308,НАП(к),1-9СП(к),1600226724
НАП,33,376.0,41.0182,Н1ИП,НАП(к),1600226737
НАП,25,376.0,54.144,1-9СП(к),НАП(к),1600228660
1-9СП(1+;3+;9+),11,146.0,47.7818,2АП(к),1-9СП(к),1600228685
4СП(4+),23,332.0,51.9652,Ч1УП,4СП(к),1600228784
НАП,33,376.0,41.0182,1-9СП(к),НАП(к),1600229066
ЧДП,22,223.0,36.4909,2-8СП(к),ЧДП(к),1600229367
НАП,40,376.0,33.84,1-9СП(к),НАП(к),1600229637
1-9СП(1+;3+;9+),224,146.0,2.34643,2АП(к),1-9СП(к),1600229677
4СП(4+),30,332.0,39.84,Ч1УП,4СП(к),1600230107
1-9СП(1+;3+;9-),39,146.0,13.4769,НАП(к),1-9СП(к),1600230231
