who, sect1_name, sect1_speed_kmh, sect1_busy_sec, sect2_name, sect2_speed_kmh, sect2_busy_sec
ЧД_останов_по_2П, ЧД1УП, 43.9024, 1600189161, ЧДП(к), 33.45, 1600189243
ЧД_пропуск_по_2П, ЧД1УП, 33.0275, 1600193445, ЧДП(к), 30.8769, 1600193554
ЧД_пропуск_по_2П, ЧД1УП, 21.6867, 1600195827, ЧДП(к), 27.6828, 1600195993
ЧД_останов_по_2П, ЧД1УП, 32.4324, 1600255571, ЧДП(к), 27.6828, 1600255682
ЧД_останов_по_2П, ЧД1УП, 41.3793, 1600326750, ЧДП(к), 34.9043, 1600326837
ЧД_останов_по_2П, ЧД1УП, 40.4494, 1600413141, ЧДП(к), 30.8769, 1600413230
ЧД_останов_по_2П, ЧД1УП, 30.7692, 1600456067, ЧДП(к), 34.9043, 1600456184
ЧД_останов_по_2П, ЧД1УП, 31.8584, 1600471373, ЧДП(к), 40.14, 1600471486
ЧД_останов_по_2П, ЧД1УП, 45.5696, 1600499480, ЧДП(к), 36.4909, 1600499559
ЧД_пропуск_по_2П, ЧД1УП, 25.7143, 1600505857, ЧДП(к), 26.76, 1600505997
ЧД_останов_по_2П, ЧД1УП, 47.3684, 1600534798, ЧДП(к), 32.112, 1600534874
ЧД_останов_по_2П, ЧД1УП, 43.3735, 1600672327, ЧДП(к), 33.45, 1600672410
ЧД_останов_по_2П, ЧД1УП, 46.1538, 1600758742, ЧДП(к), 32.112, 1600758820
ЧД_останов_по_2П, ЧД1УП, 39.5604, 1600793960, ЧДП(к), 27.6828, 1600794051
ЧД_останов_по_2П, ЧД1УП, 27.6923, 1600800775, ЧДП(к), 40.14, 1600800905
ЧД_останов_по_2П, ЧД1УП, 28.3465, 1600888677, ЧДП(к), 30.8769, 1600888804
ЧД_пропуск_по_2П, ЧД1УП, 21.8182, 1600957056, ЧДП(к), 30.8769, 1600957221
ЧД_останов_по_2П, ЧД1УП, 40.0, 1600966782, ЧДП(к), 29.7333, 1600966872
ЧД_останов_по_2П, ЧД1УП, 39.5604, 1601017926, ЧДП(к), 47.2235, 1601018017
ЧД_пропуск_по_2П, ЧД1УП, 40.4494, 1601034513, ЧДП(к), 32.112, 1601034602
ЧД_пропуск_по_2П, ЧД1УП, 39.5604, 1601109015, ЧДП(к), 32.112, 1601109106
ЧД_пропуск_по_2П, ЧД1УП, 28.125, 1601188054, ЧДП(к), 29.7333, 1601188182
ЧД_пропуск_по_2П, ЧД1УП, 40.0, 1601277255, ЧДП(к), 36.4909, 1601277345
ЧД_останов_по_2П, ЧД1УП, 41.3793, 1601312374, ЧДП(к), 40.14, 1601312461
ЧД_останов_по_2П, ЧД1УП, 40.0, 1601398855, ЧДП(к), 29.7333, 1601398945
ЧД_пропуск_по_2П, ЧД1УП, 27.2727, 1601399517, ЧДП(к), 26.76, 1601399649
ЧД_останов_по_2П, ЧД1УП, 34.9515, 1601449038, ЧДП(к), 34.9043, 1601449141
ЧД_останов_по_2П, ЧД1УП, 34.9515, 1601449952, ЧДП(к), 42.2526, 1601450055
ЧД_пропуск_по_2П, ЧД1УП, 27.0677, 1601450765, ЧДП(к), 32.112, 1601450898
ЧД_останов_по_2П, ЧД1УП, 33.3333, 1601485163, ЧДП(к), 30.8769, 1601485271
ЧД_останов_по_2П, ЧД1УП, 51.4286, 1601536318, ЧДП(к), 42.2526, 1601536388
ЧД_пропуск_по_2П, ЧД1УП, 31.5789, 1601575619, ЧДП(к), 32.112, 1601575733
ЧД_останов_по_2П, ЧД1УП, 38.7097, 1601622708, ЧДП(к), 29.7333, 1601622801
ЧД_останов_по_2П, ЧД1УП, 37.8947, 1601657981, ЧДП(к), 27.6828, 1601658076
ЧД_останов_по_2П, ЧД1УП, 39.1304, 1601744340, ЧДП(к), 32.112, 1601744432
ЧД_останов_по_2П, ЧД1УП, 42.3529, 1601795517, ЧДП(к), 32.112, 1601795602
ЧД_останов_по_2П, ЧД1УП, 41.3793, 1601830760, ЧДП(к), 29.7333, 1601830847
ЧД_останов_по_2П, ЧД1УП, 40.9091, 1601897947, ЧДП(к), 32.112, 1601898035
ЧД_останов_по_2П, ЧД1УП, 42.3529, 1601917236, ЧДП(к), 26.76, 1601917321
ЧД_останов_по_2П, ЧД1УП, 38.2979, 1601970568, ЧДП(к), 40.14, 1601970662
ЧД_останов_по_2П, ЧД1УП, 42.8571, 1601971815, ЧДП(к), 21.1263, 1601971899
ЧД_пропуск_по_2П, ЧД1УП, 40.4494, 1601973016, ЧДП(к), 29.7333, 1601973105
ЧД_останов_по_2П, ЧД1УП, 48.6486, 1602003581, ЧДП(к), 34.9043, 1602003655
ЧД_останов_по_2П, ЧД1УП, 41.3793, 1602054738, ЧДП(к), 34.9043, 1602054825
ЧД_останов_по_2П, ЧД1УП, 39.5604, 1602089974, ЧДП(к), 33.45, 1602090065
ЧД_останов_по_2П, ЧД1УП, 27.0677, 1602116134, ЧДП(к), 38.2286, 1602116267
ЧД_останов_по_2П, ЧД1УП, 52.1739, 1602141175, ЧДП(к), 32.112, 1602141244
ЧД_останов_по_2П, ЧД1УП, 42.8571, 1602313957, ЧДП(к), 28.6714, 1602314041
ЧД_останов_по_2П, ЧД1УП, 42.8571, 1602317451, ЧДП(к), 30.8769, 1602317535
ЧД_пропуск_по_2П, ЧД1УП, 35.2941, 1602318659, ЧДП(к), 29.7333, 1602318761
ЧД_останов_по_2П, ЧД1УП, 36.3636, 1602341559, ЧДП(к), 50.175, 1602341658
ЧД_останов_по_2П, ЧД1УП, 36.7347, 1602349202, ЧДП(к), 30.8769, 1602349300
ЧД_останов_по_2П, ЧД1УП, 45.0, 1602400305, ЧДП(к), 29.7333, 1602400385
ЧД_пропуск_по_2П, ЧД1УП, 40.0, 1602407710, ЧДП(к), 32.112, 1602407800
ЧД_останов_по_2П, ЧД1УП, 25.3521, 1602444172, ЧДП(к), 21.1263, 1602444314
ЧД_останов_по_2П, ЧД1УП, 39.5604, 1602522002, ЧДП(к), 33.45, 1602522093
ЧД_останов_по_2П, ЧД1УП, 36.7347, 1602573170, ЧДП(к), 26.76, 1602573268
ЧД_останов_по_2П, ЧД1УП, 36.7347, 1602584161, ЧДП(к), 28.6714, 1602584259
ЧД_пропуск_по_2П, ЧД1УП, 27.6923, 1602595174, ЧДП(к), 32.112, 1602595304
ЧД_останов_по_2П, ЧД1УП, 42.8571, 1602608442, ЧДП(к), 32.112, 1602608526
ЧД_пропуск_по_2П, ЧД1УП, 37.8947, 1602612446, ЧДП(к), 34.9043, 1602612541
ЧД_останов_по_2П, ЧД1УП, 48.6486, 1602659499, ЧДП(к), 40.14, 1602659573
ЧД_останов_по_2П, ЧД1УП, 31.3043, 1602660973, ЧДП(к), 40.14, 1602661088
ЧД_останов_по_2П, ЧД1УП, 36.7347, 1602667864, ЧДП(к), 44.6, 1602667962
ЧД_останов_по_2П, ЧД1УП, 28.8, 1602670743, ЧДП(к), 47.2235, 1602670868
