name,move_sec,length,speed_kmh,move_to_ts_name,self_ts_name,self_busy_sec
1АП(на_IП),37,607.0,59.0595,3СП(к),1АП(к),1605000438
ЧДП(на_6П),250,298.0,4.2912,2СП(к),ЧДП(к),1605004225
1АП(на_IП),34,607.0,64.2706,3СП(к),1АП(к),1605006676
ЧГП(на_IIП),17,298.0,63.1059,4СП(к),ЧГП(к),1605007326
1АП(на_IП),45,607.0,48.56,3СП(к),1АП(к),1605007315
ЧГП(на_IIП),18,298.0,59.6,4СП(к),ЧГП(к),1605008553
1АП(на_IП),40,607.0,54.63,3СП(к),1АП(к),1605010257
1АП(на_IП),90,607.0,24.28,3СП(к),1АП(к),1605011900
ЧГП(на_IIП),18,298.0,59.6,4СП(к),ЧГП(к),1605013889
ЧГП(на_IIП),20,298.0,53.64,4СП(к),ЧГП(к),1605014877
ЧГП(на_IIП),19,298.0,56.4632,4СП(к),ЧГП(к),1605015794
1АП(на_IП),114,607.0,19.1684,3СП(к),1АП(к),1605015737
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605017343
ЧГП(на_IIП),15,298.0,71.52,4СП(к),ЧГП(к),1605018226
1АП(на_IП),45,607.0,48.56,3СП(к),1АП(к),1605023254
1АП(на_IП),38,607.0,57.5053,3СП(к),1АП(к),1605026730
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605029656
1АП(на_IП),45,607.0,48.56,3СП(к),1АП(к),1605030111
ЧГП(на_IIП),18,298.0,59.6,4СП(к),ЧГП(к),1605031276
1АП(на_IП),41,607.0,53.2976,3СП(к),1АП(к),1605032029
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605033714
1АП(на_IП),51,607.0,42.8471,3СП(к),1АП(к),1605033935
1АП(на_IП),40,607.0,54.63,3СП(к),1АП(к),1605034767
ЧГП(на_IIП),21,298.0,51.0857,4СП(к),ЧГП(к),1605034796
1АП(на_IП),51,607.0,42.8471,3СП(к),1АП(к),1605038779
ЧГП(на_IIП),17,298.0,63.1059,4СП(к),ЧГП(к),1605040947
1АП(на_IП),36,607.0,60.7,3СП(к),1АП(к),1605041916
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605046155
ЧГП(на_IIП),15,298.0,71.52,4СП(к),ЧГП(к),1605046795
ЧГП(на_IIП),14,298.0,76.6286,4СП(к),ЧГП(к),1605047352
2АП(на_3П),335,588.0,6.31881,1СП(к),2АП(к),1605047818
1АП(на_IП),38,607.0,57.5053,3СП(к),1АП(к),1605048723
ЧГП(на_IIП),19,298.0,56.4632,4СП(к),ЧГП(к),1605048894
ЧГП(на_IIП),15,298.0,71.52,4СП(к),ЧГП(к),1605049775
ЧГП(на_IIП),17,298.0,63.1059,4СП(к),ЧГП(к),1605050725
ЧГП(на_IIП),17,298.0,63.1059,4СП(к),ЧГП(к),1605053390
ЧГП(на_IIП),20,298.0,53.64,4СП(к),ЧГП(к),1605055074
ЧГП(на_IIП),21,298.0,51.0857,4СП(к),ЧГП(к),1605056797
1АП(на_IП),37,607.0,59.0595,3СП(к),1АП(к),1605057994
ЧГП(на_IIП),12,298.0,89.4,4СП(к),ЧГП(к),1605059183
1АП(на_IП),44,607.0,49.6636,3СП(к),1АП(к),1605059851
ЧГП(на_IIП),17,298.0,63.1059,4СП(к),ЧГП(к),1605060179
1АП(на_IП),46,607.0,47.5043,3СП(к),1АП(к),1605062452
1АП(на_IП),47,607.0,46.4936,3СП(к),1АП(к),1605063310
ЧГП(на_IIП),17,298.0,63.1059,4СП(к),ЧГП(к),1605063984
1АП(на_IП),38,607.0,57.5053,3СП(к),1АП(к),1605064732
ЧГП(на_IIП),20,298.0,53.64,4СП(к),ЧГП(к),1605065808
ЧГП(на_IIП),19,298.0,56.4632,4СП(к),ЧГП(к),1605066281
1АП(на_IП),41,607.0,53.2976,3СП(к),1АП(к),1605069221
ЧГП(на_IIП),20,298.0,53.64,4СП(к),ЧГП(к),1605069347
ЧГП(на_IIП),19,298.0,56.4632,4СП(к),ЧГП(к),1605069895
1АП(на_3П),85,607.0,25.7082,3СП(к),1АП(к),1605070401
ЧГП(на_IIП),20,298.0,53.64,4СП(к),ЧГП(к),1605070694
ЧГП(на_IIП),20,298.0,53.64,4СП(к),ЧГП(к),1605073994
ЧГП(на_IIП),18,298.0,59.6,4СП(к),ЧГП(к),1605075719
1АП(на_IП),36,607.0,60.7,3СП(к),1АП(к),1605075881
1АП(на_IП),94,607.0,23.2468,3СП(к),1АП(к),1605076521
1АП(на_IП),48,607.0,45.525,3СП(к),1АП(к),1605077544
1АП(на_IП),37,607.0,59.0595,3СП(к),1АП(к),1605078369
